train_id,score,config/learning_rate,config/n_estimators,config/max_depth
30,0.88,0.05180337507482745,64,7
48,0.88,0.09026071578200252,169,3
17,0.8766666666666667,0.07935797890165729,185,3
16,0.8733333333333333,0.04763148992950017,79,9
2,0.8733333333333333,0.057632343010503066,111,8
9,0.8733333333333333,0.055947916237221174,150,9
47,0.8733333333333333,0.06511828608264085,162,7
8,0.87,0.06831368772299515,92,9
22,0.87,0.09185812280718293,143,4
11,0.87,0.026514600908413427,131,9
28,0.87,0.05020591949687565,92,7
20,0.87,0.03336931098535215,103,9
33,0.87,0.03092815542784121,138,6
49,0.87,0.060819962116199604,131,4
1,0.87,0.08778669833233142,186,4
23,0.8666666666666667,0.06030997458598533,140,8
32,0.8666666666666667,0.09055633594088994,136,5
35,0.8666666666666667,0.04350584623951679,76,6
34,0.8666666666666667,0.08609376935337451,94,5
38,0.8666666666666667,0.03990850350493003,159,6
42,0.8666666666666667,0.05002600170820009,94,6
4,0.8666666666666667,0.07660167293664237,83,5
31,0.8633333333333333,0.03932029738319482,71,9
37,0.8633333333333333,0.032921397477627526,176,7
27,0.8633333333333333,0.01280796709656274,168,5
26,0.8633333333333333,0.047130116400426754,131,4
50,0.8633333333333333,0.08337939104120529,90,4
12,0.8633333333333333,0.03913681761187101,185,7
3,0.8633333333333333,0.08061237479386876,92,4
21,0.8633333333333333,0.06394008636541831,145,5
10,0.8633333333333333,0.03676728067179124,91,4
13,0.8633333333333333,0.04235358682819992,166,6
6,0.86,0.005161377607489162,177,4
41,0.86,0.04807126578122233,114,4
24,0.86,0.09573810368222035,107,4
39,0.86,0.0766498618998143,95,9
15,0.86,0.0588751108130946,171,9
19,0.86,0.0913828005865562,114,6
29,0.86,0.06439989309929012,171,7
14,0.8566666666666667,0.04086864574261792,65,9
40,0.8566666666666667,0.011756146331101652,145,5
7,0.8566666666666667,0.02655392952834105,89,9
45,0.8566666666666667,0.09446088602733871,122,7
44,0.8533333333333334,0.029676085747361147,83,7
46,0.8533333333333334,0.04491291447406124,158,5
5,0.84,0.014293204152073531,91,5
18,0.8366666666666667,0.0067097802150681285,135,6
36,0.8333333333333334,0.0018220008080882108,77,5
43,0.8333333333333334,0.0077627919460918965,75,4
25,0.8333333333333334,0.003906847310800267,173,5
