Special Build Description,mean,median,std
J230-MLB P4b MAIN_TDI7DJ85,29.32203733766233,28.13778409090908,2.915321292103508
J230-MLB P4b MAIN_TDI7DL85,30.023437499999996,29.6484375,3.9624163016393172
J230-P4B_FBU-QS2,17.490298027444243,17.50355113636363,0.061458409280653936
J230-P4B_FBU-QSP1,33.04346590909091,33.40802556818181,3.6797739035385963
J230-P4B_Mn 1,21.03338068181818,21.65696022727272,2.874604084197208
J230-P4B_Mn 12,26.512332128099164,26.48366477272727,2.468603951064086
J230-P4B_Mn 15,29.421416788856302,30.36505681818181,2.4498557798990745
J230-P4B_Mn 15-REL,28.05477105614973,29.089488636363633,3.210304402428746
J230-P4B_Mn 16-REL,26.67203537390029,26.23508522727272,5.195414696992669
J230-P4B_Mn 16A-S10,29.57511697860962,29.49147727272727,4.317754185492953
J230-P4B_Mn 17,17.480563446969693,17.242187499999993,1.0726999933482022
J230-P4B_Mn 17-REL,18.379805871212117,17.644176136363633,1.7914571954852114
J230-P4B_Mn 18-11,17.450343276515145,17.24964488636363,1.0765108168711075
J230-P4B_Mn 18-REL,17.523277126099703,17.49289772727272,0.5519531211061529
J230-P4B_Mn 19,28.46713899667405,28.79545454545454,3.9256121795818926
J230-P4B_Mn 19-REL,26.533710430194798,26.46555397727272,3.681199179878695
J230-P4B_Mn 2,26.326473308668074,27.24360795454545,5.4735804663136065
J230-P4B_Mn 2-REL,28.40368700592885,28.93821022727272,4.384141751155946
J230-P4B_Mn 20,30.267168972332012,30.12286931818181,3.2862785211536303
J230-P4B_Mn 20-REL,28.508935117302045,28.27982954545454,4.244757613281355
J230-P4B_Mn 23-3,17.09637530438311,17.499999999999993,1.463605542263218
J230-P4B_Mn 24-4,28.288238636363634,28.64772727272727,4.4396695109180735
J230-P4B_Mn 32-13,27.703207584566588,28.39275568181818,3.253979167810668
J230-P4B_Mn 4,23.89299242424242,22.36505681818181,4.075213620439114
J230-P4B_Mn 7-R7a-B,28.348555871212113,28.53160511363636,4.022149019979436
J230-P4B_Mn 7-R7b-B,27.388642282196958,27.852982954545453,4.293897071925402
J230-P4B_Mn 7-REL,29.817116477272716,30.42613636363636,3.8345137116527046
J230-P4B_Mn 8,27.78227729301948,28.207031249999993,5.3457433909277325
J230-P4B_Mn 8-R8-A,27.74416193181818,27.634588068181813,4.6897690865632455
J230-P4B_Mn 8-REL,29.916015625,30.290482954545453,6.413194252720033
J230-P4B_R11b-A-ISO,28.51483050847459,28.1796875,3.6524604263218428
