id,bad,w_pct_cnt_to_black,w_app_cnt_m1,w_app_time_minus_update_time,w_cpa_rt_days,w_cpc_cnt_week_cv,w_cpc_mthly_call_02_cnt,w_be_not_familiar,w_d_7_cnt,w_cnt_applied_over_cnt_all,w_most_familiar_applied,w_d_30_cnt,w_rpt_org_m3
5286,0,0.050593938,0.033448676,0.02171007,-0.019167012,0.219471095,0.133516041,-0.186296131,0.098940128,-0.146480844,0.06111476,-0.061875188,0.162955769
5322,0,0.050593938,0.301451979,0.256830669,-0.019167012,0.219471095,0.133516041,0.070292526,0.098940128,0.108872828,0.06111476,0.172905067,0.162955769
5351,0,0.050593938,0.033448676,0.132377357,0.168365271,0.008388903,0.133516041,0.070292526,-0.086194664,0.214857769,0.06111476,0.082506884,-0.081371326
5356,1,-0.050609438,-0.114576736,0.256830669,-0.019167012,-0.190036537,-0.156092085,-0.13947193,0.098940128,-0.146480844,0.06111476,0.172905067,-0.081371326
5362,1,0.050593938,-0.114576736,0.132377357,0.168365271,0.219471095,0.133516041,0.070292526,0.098940128,0.214857769,0.06111476,0.172905067,-0.081371326
5263,0,0.050593938,0.033448676,-0.133867924,-0.019167012,0.219471095,0.133516041,0.070292526,0.098940128,0.108872828,0.06111476,-0.21804462,-0.081371326
5387,0,0.050593938,0.033448676,-0.133867924,-0.019167012,-0.488645144,-0.156092085,-0.186296131,0.098940128,0.214857769,-0.554753012,0.172905067,-0.081371326
5404,0,0.050593938,-0.114576736,-0.133867924,-0.019167012,0.219471095,-0.156092085,0.070292526,0.098940128,0.214857769,0.06111476,-0.21804462,-0.081371326
5455,0,0.050593938,0.033448676,-0.133867924,-0.019167012,0.008388903,-0.156092085,0.070292526,0.098940128,0.214857769,0.06111476,-0.21804462,-0.081371326
5469,0,0.050593938,0.301451979,-0.28968773,-0.019167012,0.219471095,-0.156092085,0.290523645,-0.086194664,0.214857769,0.06111476,0.082506884,-0.081371326
5514,0,0.050593938,0.033448676,-0.28968773,-0.09846067,-0.190036537,-0.156092085,0.070292526,0.098940128,-0.057475643,-0.103970127,-0.061875188,-0.081371326
5515,0,-0.050609438,-0.114576736,0.132377357,-0.019167012,0.219471095,0.133516041,0.070292526,0.098940128,-0.146480844,0.06111476,0.082506884,0.162955769
5521,1,0.050593938,0.033448676,0.256830669,-0.09846067,0.008388903,-0.156092085,0.290523645,0.098940128,-0.057475643,0.06111476,0.172905067,0.162955769
4922,0,0.050593938,-0.248885013,-0.28968773,-0.019167012,0.008388903,-0.156092085,0.070292526,0.098940128,0.108872828,0.06111476,-0.21804462,-0.081371326
5542,0,-0.050609438,-0.248885013,0.02171007,0.168365271,0.219471095,0.133516041,0.070292526,0.098940128,0.108872828,0.06111476,0.082506884,-0.57493887
5543,0,0.050593938,0.033448676,0.02171007,-0.019167012,-0.190036537,-0.156092085,-0.186296131,0.098940128,0.214857769,0.06111476,0.172905067,0.162955769
5545,1,0.050593938,-0.114576736,-0.133867924,-0.09846067,0.008388903,0.133516041,-0.13947193,0.098940128,0.108872828,0.06111476,0.082506884,-0.081371326
5548,0,0.050593938,0.301451979,0.132377357,-0.09846067,-0.488645144,-0.156092085,-0.186296131,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
5594,1,0.050593938,0.033448676,0.256830669,-0.019167012,0.219471095,0.133516041,0.070292526,0.098940128,0.108872828,0.06111476,0.172905067,0.162955769
5607,1,0.050593938,-0.738327125,-0.28968773,0.168365271,-0.190036537,-0.156092085,0.070292526,-0.690002775,-0.146480844,-0.103970127,-0.408212008,-0.57493887
5667,1,0.050593938,-0.439143824,-0.133867924,-0.09846067,-0.190036537,-0.156092085,0.070292526,0.098940128,-0.146480844,0.06111476,-0.408212008,-0.081371326
5671,0,0.050593938,-0.114576736,0.02171007,-0.019167012,0.219471095,0.133516041,-0.13947193,0.098940128,-0.057475643,0.06111476,-0.408212008,-0.081371326
5705,0,0.050593938,-0.114576736,-0.133867924,-0.019167012,-0.190036537,-0.156092085,0.070292526,0.098940128,-0.146480844,-0.103970127,0.172905067,-0.081371326
5732,0,0.050593938,0.033448676,0.132377357,0.168365271,0.008388903,0.444287528,0.290523645,0.098940128,0.108872828,-0.103970127,0.172905067,0.162955769
