train_id,score,config/epochs,config/learning_rate,config/momentum,config/batch_size
3,0.56,10,0.006063873610146399,0.9219638708443805,16
1,0.53,10,0.007001716822321679,0.9131136524248911,16
2,0.53,10,0.0008840851262164317,0.9205375017394374,16
